text,substance_label,symptom_labels
"A 27-year-old man who had a history of bronchial asthma, eosinophilic enteritis, and eosinophilic pneumonia presented with fever, skin eruptions, cervical lymphadenopathy, hepatosplenomegaly, atypical lymphocytosis, and eosinophilia two weeks after receiving trimethoprim (TMP)-sulfamethoxazole (SMX) treatment.",none,['adverse_event']
"We report the case of a patient who developed polyserositis (pericardial effusion, pleural effusion, and pericarditis) after being started on clozapine, and whose symptoms remitted upon discontinuation of clozapine.",none,['adverse_event']
Traditional risk factor analysis and screening were performed.,none,['none']
We report a 13 year-old male who developed life-threatening anaphylaxis early in the course of Increlex therapy.,none,['adverse_event']
"A 14-year-old female developed systemic lupus erythematosus (SLE)-like symptoms, rash, fever, leukopenia and positive anti-nuclear antibody (ANA) two weeks after administration of carbamazepine (CBZ; Tegretol) used against benign Rolandic epilepsy.",none,['rash']
"At the age of 12, a prematurely born boy with an otherwise unremarkable past medical history developed bilateral optic neuritis associated with transverse myelopathy.",none,['none']
"The case of a young woman suffering from multiple autoimmune-dysreactive disorders (including thyreoiditis, myasthenia gravis, thymectomy, Crohn's disease, and erythema nodosum), while undergoing steroideal therapy, was complicated by a severe infectious disorder (severe upper urinary tract infection).",none,['none']
"Here, we present a case of sirolimus-associated interstitial pneumonitis in a cardiac transplant recipient that resolved completely with withdrawal of the drug and treatment with corticosteroids.",none,['adverse_event']
Three patients achieved undetectable HIV loads with enfuvirtide salvage regimens.,none,['none']
Extraskeletal tumoral calcifications (TC) may occur in patients with end-stage renal disease.,none,['none']
Periosteal infusion of bupivacaine/morphine post sternal fracture: a new analgesic technique.,opioid,['none']
We report a case culture-negative interface abscess following LASIK that was successfully treated with antibiotics and povidone iodine.,none,['none']
Mycobacterium fortuitum bacteremia with granulomatous hepatitis complicating home cyclic parenteral nutrition through an indwelling Broviac catheter occurred in a 41-year-old woman.,none,['none']
Radiotherapy enhances the toxicity of aminoglutethimide.,none,['none']
Single case study.,none,['none']
Ocular examination of both eyes revealed anterior subcapsular opacities of both lenses with the right eye being more severe than the left.,none,['none']
"To avoid hyperuricemia and an acute attack of gout after RFA therapy for HCC, early identification of patients at risk is warranted, such as those with a large tumor, rapid tumor growth, and renal insufficiency, and preventative measures should be considered.",none,['none']
"Therapy was continued for 8 months or longer in 6 patients, none of whom developed life-threatening infections.",none,['none']
"If cancer and AAA coincide and curative chemotherapy is possible, a potential impact of chemotherapy on AAA expansion should be considered.",none,['none']
Antibiotic-associated colitis (pseudomembranous colitis) developed in four patients with spinal cord injury and taking oral trimethoprim-sulfamethoxazole.,none,['adverse_event']
"However, thereafter he suffered from serious infectious complications associated with immunosuppression and finally died 11 months after APOLT.",none,['none']
"It carries a well-known risk of neutropenia and agranulocytosis, which necessitates the immediate discontinuation of clozapine.",none,['adverse_event']
CONCLUSIONS: There is very little published information regarding ofloxacin-induced toxic epidermal necrolysis.,none,['adverse_event']
"However, two children responded to the series of injections of hydrocortisone but not to single doses of methylprednisolone.",none,['none']
Severe hepatotoxicity related to benzarone: a report of three cases with two fatalities.,none,['adverse_event']
Excessive level of parathyroid hormone may induce the reduction of recombinant human erythropoietin effect on renal anemia.,none,['none']
Torsade de pointes represents a potential complication of chronic amiodarone therapy.,none,['adverse_event']
"started having backache, fever and became operatively.",none,['none']
"Black cohosh is one of the most popular herbal therapies for premenstrual discomfort, hot flushes and other climacteric and menopausal symptoms.",none,['none']
"A dapsone hypersensitivity syndrome, consisting of fever, headache, nausea, vomiting, lymphadenopathy, hepatitis, hemolysis, leukopenia, and mononucleosis, has been described in patients treated with the drug for leprosy.",none,"['nausea', 'vomiting', 'headache']"
We report a case of Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) secondary to trimethoprim-sulfamethoxazole (TMP-Sx) therapy for presumed community-associated methicillin-resistant Staphylococcus aureus (CA-MRSA) infection.,none,['adverse_event']
Healthcare providers and members of the public should be aware of the potential adverse effects of these remedies.,none,['none']
"Physicians should suspect pulmonary toxicity in patients with respiratory distress after gemcitabine chemotherapy, mainly in elderly patients.",none,['none']
Risperidone-induced psychosis and depression in a child with a mitochondrial disorder.,none,['adverse_event']
"Toxic streptococcal syndrome is characterized by fever, shock, multiorgan system failure and a desquamating scarlatiniform rash.",none,['rash']
"Furthermore, inadequate control of hypertension may have been another cause of hemorrhage.",none,['none']
The patient developed infectious complications and died on hospital day 32.,none,['none']
"Quinine and its isomer quinidine are well-known causes of iatrogenic hypoglycaemia, due to excessive insulin secretion.",none,['adverse_event']
Severe rhabdomyolysis developed within 5 hours after the injection.,none,['none']
Therefore we recommend the less invasive approach first--urokinase therapy--to be followed by surgical intervention if thrombolysis is unsuccessful.,none,['none']
"An uncommon manifestation of phototoxicity, photo-onycholysis results in the separation of the distal nail from the nail bed.",none,['none']
"Amphotericin B (AmB) is effective, but its use is limited by toxicity: renal impairment, anaemia, fever, malaise, and hypokalaemia are common.",none,['adverse_event']
"Because of serious side effects of an increase in the QT interval causing torsades de pointes, dofetilide must be initiated with close monitoring of the QT interval in an inpatient setting.",none,['adverse_event']
"A 35-year-old woman was admitted to our hospital with the following complaints, headache, sweating, anxiety, dizziness, nausea, vomiting and severe hypertension.",none,"['nausea', 'dizziness', 'vomiting', 'headache', 'anxiety']"
"Three weeks later, diffusion abnormalities resolved, and T2-weighted studies showed increased signal intensity of prolonged T2 changes in areas of prior restricted diffusion.",none,['none']
"Antiphospholipid syndrome is an autoimmune disease that is characterised by tendency to thrombosis, obstetrical and hematological complications.",none,['none']
Safety of nab-paclitaxel plus sunitinib: analysis of three cases.,none,['none']
Reduction of methylprednisolone dosage rather than insulin therapy resulted in better control of glycemia.,none,['adverse_event']
Symptoms resolved when systemic corticosteroids were administered.,none,['none']
"Neurologic symptoms resolved after stopping CAP for 4 weeks in Patient A, with no recurrence after reinitiating CAP alone at 2000 mg/m2.",none,['adverse_event']
OBJECTIVE: To describe a series of patients with clinically significant lead poisoning.,none,['none']
"Coronary thrombolysis is contraindicated in patients with transient cerebral ischemia and stroke, arterial hypertension, cerebral trauma, cerebral aneurysms, and arteriovenous malformations, because of the risk of cerebral hemorrhage.",none,['none']
"He had received treatment with 400 mg of imatinib per day for 77 days, followed by dasatinib for 133 days.",none,['none']
Antimonial derivatives induced a rapid remission.,none,['none']
Treatment with sodium bicarbonate readily corrected a potentially life-threatening cardiac arrhythmia and is therefore suggested to be imperative in the treatment of these cases.,none,['none']
Total scaphoidectomy and appropriate antibiotic therapy eradicated the infection.,none,['none']
The patient was hospitalized and treated with a bolus as well as continuous infusion of intravenous magnesium sulfate.,none,['none']
"Despite significant improvement, extended plastic surgery was necessary for facial reconstruction.",none,['none']
"Two years later, his treatment was switched to olanzapine.",none,['none']
Hyperosmolar hyperglycemic nonketotic coma.,none,['none']
"PURPOSE: The intravitreal application of triamcinolone acetonide as treatment of long-standing, therapy-resistant cystoid macular edema after penetrating keratoplasty is reported.",none,['none']
"We conclude that while thrombocytopenia and schistocytosis can be seen in quinine-associated TTP/HUS, the pathophysiology seems to be distinct from that seen in most cases of idiopathic TTP (i.e., severely decreased ADAMTS13 with an inhibitor).",none,['adverse_event']
The clinical course as well as the biochemical pattern and the investigation of liver biopsy specimens enabled us to establish the diagnoses of drug-induced canalicular and hepatocanalicular cholestasis.,none,['none']
"Importantly, this was the first time that information became available about the effects of tamoxifen in healthy women, that is, women who did not already have breast cancer.",none,['none']
A 42-year-old male underwent a total hip arthroplasty under subarachnoid anaesthesia with intrathecal bupivacaine and diamorphine.,opioid,['none']
Surgery to remove the remaining tumor was performed 19 days later.,none,['none']
Gastric mucosa hyperplasia is a rare cause of upper gastrointestinal obstruction in the neonatal period.,none,['none']
A 69-year-old man with ulcerative colitis (UC) developed sensorimotor polyneuropathy.,none,['none']
Subacromial impingement syndrome as a consequence of botulinum therapy to the upper trapezii: a case report.,none,['none']
"The patient's pain was well controlled with 10 mg continuous release morphine p.o. three times daily, and 10 mg immediate release morphine p.o. for breakthrough pain as required.",opioid,['pain']
"He had been taking trimethoprim-sulfamethoxazole for approximately eight days when he revisited his family physician, complaining of headaches, dizziness, difficulty with speech, weakness, and itching on the trunk of his body and legs, where a maculopapular rash was noted.",none,"['dizziness', 'headache', 'rash']"
We report the first case of acute renal failure with hyperkalemia associated with the recently marketed direct renin inhibitor aliskiren.,none,['adverse_event']
"The possibility can be raised that M-CSF accelerated the underlying renal disease in this case through enhancing macrophage accumulation into the glomerulus, leading to the development of nephrotic syndrome.",none,['adverse_event']
"Thus, olanzapine dose reduction may permit treatment continuation where this is clinically indicated.",none,['none']
"Intravenous verapamil therapy in babies may cause apnea, hypotension, and bradycardia; continued episodes of atrial flutter in a child may cause sudden death; quinidine may be related to the death; children with ""familial seizure disorders"" may in fact have the long QT interval syndrome.",none,['seizure']
The neurotoxicity was associated with oculomotor disturbances expressed primarily as weakness of convergence and divergence.,none,['none']
This case describes the complications and successful treatment of high-dose intrathecal morphine overdose.,opioid,['overdose']
The pupils were pinpoint.,none,['none']
Hemostatic physiology involves a complex interlinking of blood and endothelial factors.,none,['none']
We report a case of torsade de pointes following a single oral dose of amiodarone (1400 mg or 30 mg kg-1) administered after short intravenous loading for prevention of paroxysmal atrial flutter.,none,['adverse_event']
Management of Graves' ophthalmopathy includes high-dose glucocorticoids.,none,['none']
"Bronchoscopic, cytologic, histopathologic, and virologic studies confirmed that necrotizing and exudative tracheobronchitis was due to herpes simplex virus.",none,['none']
The blindness may have been a consequence of an immune reactivation inflammatory syndrome caused by this treatment.,none,['none']
Hepatic hyperechogenicity on ultrasonography and slight elevation of serum transaminases might erroneously lead to a diagnosis of hepatic steatosis without liver histology.,none,['none']
"SETTING: Gimbel Eye Centre, Calgary, Alberta, Canada.",none,['none']
"After identification of the index patient, additional inquiry revealed that the patient's mother was hospitalized previously for overwhelming sepsis associated with metamizole use.",none,['adverse_event']
Cultures of the anterior chamber were positive for Candida glabrata.,none,['none']
Pharmacokinetically induced benzodiazepine withdrawal.,none,['none']
"The clinical manifestations of an anaphylactoid reaction are identical to true anaphylaxis; however, a previous exposure to the offending agent is not needed to manifest these symptoms.",none,['none']
"Early ICP was elevated, >50 mm Hg, and continuous EEG monitoring showed isoelectric readings.",none,['none']
It is suggested that high dosage corticosteroids may damage the posterior blood-ocular barrier.,none,['none']
Mexiletine hydrochloride was useful in preventing recurrences of torsades de pointes.,none,['none']
It may or may not be accompanied by other features of toxicity.,none,['none']
DATA EXTRACTION: Data from pertinent published sources were reviewed and abstracted.,none,['none']
An acute ischaemic event associated with the use of venlafaxine: a case report and proposed pathophysiological mechanisms.,none,['adverse_event']
"CONCLUSIONS: In these 3 cases, the unique positive ocular finding was corneal endothelial deposits, which may be related to the use of rifabutin.",none,['adverse_event']
All-trans-retinoic acid (ATRA) is considered the recommended induction treatment for acute promyelocytic leukemia (APL).,none,['none']
"While the introduction of carmustine wafers (Gliadel wafers) into the tumor resection cavity has been shown to be a beneficial therapy for malignant glioma, it is recognized that clinically significant cerebral edema is a potential adverse effect.",none,['adverse_event']
The patient responded to aluminum chloride applied topically.,none,['none']
"In addition to the therapeutic benefits, prospective monitoring of free SDC in two of the patients also may have resulted in cost savings secondary to reduced hospital stay or less use of Fab.",none,['none']
Antiretroviral-induced hepatic steatosis and lactic acidosis: case report and review of the literature.,none,['none']
Although few reports of side effects have been published complications such as priapism and fibrosis of the spongy tissue are of concern.,none,['none']
Progressive outer retinal necrosis presenting with isolated optic neuropathy.,none,['none']
A 14-year-old girl with newly diagnosed SLE developed a pruritic bullous eruption while on prednisone.,none,['adverse_event']
"To our knowledge, neither the association of SINS and ankylosing spondylitis nor vertical diplopia as its presenting complaint has been described.",none,['none']
These reports suggest the possibility that the risk of developing hyperglycemia and diabetic coma with this combination may be greater than when taking diuretics alone.,none,['none']
"At 8 years 8 months of age, desensitization was attempted because of refractoriness of seizures to drugs other than phenytoin.",none,['seizure']
Rapid diagnosis may avert unnecessary changes in therapy to treat conditions which clinically mimic NEH.,none,['none']
We report a case of Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) secondary to trimethoprim-sulfamethoxazole (TMP-Sx) therapy for presumed community-associated methicillin-resistant Staphylococcus aureus (CA-MRSA) infection.,none,['adverse_event']
It was possible to reproduce the disease by the intradermal injection of killed Group A streptococcal organisms.,none,['none']
We administered SKT for a patient with thoracic outlet syndrome (TOS) complaining of several resting symptoms.,none,['none']
"Administration of excessive insulin induced hypoglycemia within 4 to 8 hours, followed by rebound hyperglycemia.",none,['adverse_event']
Rapid formation of Aspergillus mycetoma in a patient receiving corticosteroid treatment.,none,['none']
"Hypoglycemia can be a serious side effect of etanercept in patients already on antidiabetic medications known to cause hypoglycemia, such as sulfonylureas, meglitinides, and insulin.",none,['adverse_event']
"Recent reports have shown that Decadron (dexamethasone; Merck Sharp & Dohme, West Point, Pa) has a significant antiemetic effect on cisplatin-induced vomiting.",none,['vomiting']
Dystonia is a common manifestation in Wilson's disease (WD).,none,['none']
Iatrogenic vasculitis should be suspected when a patient with idiopathic vasculitis with one type of ANCA develops the other type of ANCA.,none,['none']
Nodular scleritis following alendronate therapy.,none,['adverse_event']
"After 1 week of nefazodone therapy the patient experienced headache, confusion, and ""gray areas"" in her vision, without abnormal ophthalmologic findings.",none,"['confusion', 'headache']"
"However, long-term PUVA therapy may cause several adverse effects including skin cancer, especially squamous cell carcinoma (SCC).",none,['none']
Bilateral Acanthamoeba keratitis in Synergeyes contact lens wear: clinical and confocal microscopy findings.,none,['none']
Atrial fibrillation after vardenafil therapy.,none,['adverse_event']
"Pentavalent antimonial drugs used for the treatment of leishmaniasis have been associated with sudden deaths, probably due to the development of ventricular tachyarrhythmias.",none,['none']
Treatment with r-HuEPO does improve the quality of life and ability to work of uremic patients and does not adversely affect their transplant potential.,none,['none']
"BACKGROUND: Accutane a teratogenic prescription drug licensed to treat severe, recalcitrant nodular acne.",none,['adverse_event']
A mechanism for the efficacy of this treatment is discussed.,none,['none']
"BACKGROUND: Bupropion, a novel antidepressant, has been reported to produce fewer adverse effects than the tricyclic antidepressants.",none,['none']
"The first patient showed a good response to olanzapine, but the RLS symptoms associated with olanzapine resulted in poor long-term compliance, eventually leading to frequent relapse of psychotic symptoms.",none,['none']
The present report examines the case of a patient with longstanding Crohn's disease who had never been treated with corticosteroids and who developed osteonecrosis of the talus.,none,['none']
"Optometrists should be familiar with this condition, its signs, symptoms and correct treatment protocol.",none,['none']
"Specifically, after initiation of 500 mg MMF twice a day given in conjunction with the long-standing use of prednisone, which had been tapered to a dose of 10 mg daily, the patient's red blood cell count dropped by 17% over 7 weeks.",none,['none']
"However, 19 days after starting amiodarone, serum testing indicated a hypothyroid status that was not recognized clinically.",none,['none']
There is growing evidence that various organic solvents give rise to a parkinsonism syndrome with pyramidal features in susceptible individuals.,none,['none']
Systemic capillary leak syndrome after granulocyte colony-stimulating factor (G-CSF).,none,['adverse_event']
We present a patient with multiple intraoral ulcerations of the right buccal and alveolar mucosa that had previously been treated with nerve ablation therapy for trigeminal neuralgia.,none,['none']
"To ensure safety and effectiveness, and to meet the requirements of accreditation agencies, hospitals should develop prescribing guidelines for IV opioid range orders and clear protocols for their implementation.",none,['none']
Flurbiprofen-associated acute tubulointerstitial nephritis.,none,['adverse_event']
"The patient received only the ophthalmic sulfonamide, and it was used for one day, but he developed Stevens-Johnson syndrome.",none,['adverse_event']
"While the 2 patients without re-exposure to etanercept did not have further CD flares, the third patient flared 6 months after re-institution of etanercept in combination with azathioprine.",none,['none']
"In this brief report, we present case of successful cisplatin administration following two unsuccessful carboplatin desensitization attempts, and without the need for pre-treatment steroids.",none,['none']
"Initial measurements showed the patient was able to walk for one minute and 34 seconds on a treadmill (2 mph, 10% grade) before stopping because of claudication.",none,['none']
"After 4 months, the pain had almost entirely disappeared.",none,['pain']
A diffuse intrahepatic metastasis of a carcinoid was treated with a loco-regional intraarterial chemotherapy via a catheter system implanted in the gastroduodenal artery.,none,['none']
"This report describes a male college student who experienced akinesia lasting almost 3 weeks following withdrawal from relatively brief, low-dose neuroleptic treatment.",none,['none']
Acute abdomen due to endometriosis in a premenopausal woman taking tamoxifen.,none,['adverse_event']
OBJECTIVE: The objective of this study was to assess the efficacy of beta-blockade on clinically significant left ventricular outflow tract obstruction in premature infants treated with dexamethasone because of bronchopulmonary dysplasia.,none,['none']
"After mirtazapine therapy was discontinued, serum sodium concentrations normalized.",none,['none']
Two patients with bipolar affective disorder and a history of bronchospastic phenomena experienced tremor during lithium carbonate therapy.,none,['adverse_event']
Histopathology showed an increase in melanocyte numbers and melanogenesis.,none,['none']
"The authors also determined that their case of myositis developing in the rectus abdominus muscle of a patient with pancreatic adenocarcinoma was the manifestation of radiation recall, thereby bringing the number of patients who developed radiation recall to gemcitabine and were discussed in the current study to 13.",none,['adverse_event']
"We report the first case of fulminant adult respiratory distress syndrome (ARDS) associated with pegylated interferon alpha-2a (pegIFNalpha-2a) and ribavirin use for hepatitis C, complicated by subsequent and ultimately fatal sepsis and multiorgan failure.",none,['adverse_event']
"Since 1979, over 30 published case reports have documented the relationship between phenylpropanolamine and stroke.",none,['adverse_event']
Testicular teratoma with a unique mode of spread and spontaneous maturation.,none,['none']
A case report.,none,['none']
BACKGROUND: A 56-year-old man with normal cardiac function received treatment with interferon alpha-2b for malignant melanoma.,none,['none']
Patch testing to individual components revealed positive reactions to all ingredients except aloe.,none,['none']
It is concluded that selective 5-HT4 agonists could be potentially useful to improve bladder emptying in micturition disorders associated with detrusor hypocontractility.,none,['none']
"Definitive diagnosis was obtained after a mean period of 4.5 weeks (range, 12 days-8 weeks) from onset.",none,['none']
"Central nervous system effects secondary to ciprofloxacin treatment are uncommon and usually consist only of minor dizziness or mild headache, although rare occurrences of seizures and hallucinations have been reported.",none,"['dizziness', 'headache', 'seizure']"
A 55-yr-old man developed prolonged jaundice and sicca complex after a course of thiabendazole therapy.,none,['adverse_event']
Mycobacterium bovis dissemination (BCG strain) among immunodeficient Brazilian infants.,none,['none']
"We describe a woman with relapsed cutaneous follicular centre B-cell lymphoma and secondary lymph-node involvement treated with rituximab alone, which induced a complete remission.",none,['none']
Clonidine-induced bradycardia in patients with spinal cord injury.,none,['adverse_event']
"A 7-year-old with congenital toxoplasmosis who took pyrimethamine and sulfadiazine for reactivated chorioretinitis developed fever, severe cutaneous involvement, swelling, abdominal pain and transaminitis, persisting weeks after withholding medicines.",none,['pain']
Environmental agents have long been thought to be linked to the development of malignancies.,none,['none']
"However, recently we were confronted with two cases within 1 month.",none,['none']
CLINICAL FEATURES: A 34-yr-old man with long-standing insulin dependent diabetes mellitus underwent a total proctocolectomy for inflammatory bowel disease.,none,['none']
In more than half of the cases there was evidence of prolonged elimination t1/2 or rebound of a serum concentration during the elimination phase corresponding to either an additional compartment or enterohepatic circulation of 6MP.,none,['none']
"Since this reaction was not present on the original aspiration cytology slides, the chemotherapy treatment must have induced this reaction.",none,['none']
"There have been conflicting reports as to whether clozapine, an atypical antipsychotic, will suppress symptoms of tardive dyskinesia.",none,['none']
Drug induced acute parotitis is a very uncommon complication reported with a few drugs only.,none,['none']
Severe tardive dystonia: treatment with continuous intrathecal baclofen administration.,none,['none']
"We conclude that, though rare, E. avium can be pathogenic in humans and that E. avium bacteremia is associated with gastrointestinal abnormalities.",none,['none']
"Two hours after a documented overdosage of more than 100 tablets oxcarbazepine, the serum level of the parent compound was 10-fold higher than the therapeutic dosage (31.6 mg l(-1)).",none,['none']
"In addition to PIA1 platelet antibodies, this patient had an associated anamnestic recall of multispecific red cell and lymphocytotoxic antibodies.",none,['none']
The severity of the haemorrhagic diathesis prompted us to describe the case in order to draw the attention of medical personnel to the dangerous potentiation effects of different drugs administered with vitamin K antagonists.,none,['none']
"Approximately 1 year after symptom onset he developed mild seropositive oculobulbar myasthenia gravis, which spontaneously remitted after 5 months.",none,['none']
Thrombotic thrombocytopenic purpura during penicillamine therapy in rheumatoid arthritis.,none,['adverse_event']
This potentially fatal complication is difficult to treat and should be widely known.,none,['none']
Early-onset pentamidine-associated second-degree heart block and sinus bradycardia: case report and review of the literature.,none,['adverse_event']
The clinical picture was identical to that of chloroquine and hydroxychloroquine maculopathy.,none,['adverse_event']
"She had, in July 1977, severe claudication of the lower extremities.",none,['none']
Suppression of endogenous cortisol production and replacement with more physiologic concentrations of glucocorticoid were associated with clinical improvement and appeared to contribute to her recovery.,none,['none']
She developed a wide complex dysrhythmia which responded to sodium bicarbonate therapy.,none,['none']
"A senile patient showed a dramatic recovery from medication-resistant depression after non-convulsive electroshock therapy (nc-EST), with a lasting change in response to trazodone, which mainly acts as a serotonin re-uptake inhibitor.",none,['none']
"Verapamil, a class IV anti-arrhythmic drug that blocks voltage-dependent calcium channels in cardiac and smooth muscle, also has effects on presynaptic and postsynaptic voltage-dependent calcium channels at the neuromuscular junction.",none,['none']
Thyroid dysfunction has been reported in patients with malignant disease treated with recombinant alpha interferon.,none,['adverse_event']
MEASUREMENTS AND MAIN RESULTS: Extensive noncardiogenic pulmonary edema.,none,['none']
We review the literature on previously reported cases of cutaneous necrosis after injection of standard interferon alfa or pegylated interferon alfa-2b and discuss the different pathophysiologic mechanisms that might be involved.,none,['adverse_event']
Hepatic reactions to cyclofenil.,none,['adverse_event']
Bilateral subthalamic nucleus stimulation results in reversal of alopecia in Parkinson's disease.,none,['none']
"These in vitro findings and clinical course suggest that TRAb/TBII without thyroid-stimulating activity may develop in patients with amiodarone-induced destructive thyroiditis, as reported in patients with destructive thyroiditis, such as subacute and silent thyroiditis.",none,['adverse_event']
We report the first case of an acute flare of eosinophilic cystitis in a 51-year-old woman after bladder instillation with dimethyl sulfoxide (DMSO) for presumed interstitial cystitis.,none,['adverse_event']
We describe such a case who responded to chemotherapy and not to low doses of corticosteroids.,none,['none']
"This ""fibroelastic form"" would represent the acute or subacute phase of constriction.",none,['none']
Disseminated toxoplasmosis with pulmonary involvement after heart transplantation.,none,['none']
"The findings were judged to be consistent with soft-tissue injury associated with intravenous administration of phenytoin, also termed purple glove syndrome.",none,['adverse_event']
Color Doppler imaging of the thyroid gland in a fetus with congenital goiter: a case report.,none,['none']
The infiltrates did not affect the refractive outcome of the surgery.,none,['none']
We report the outcomes of two pregnancies with first trimester disulfiram exposure.,none,['none']
"Seven months after undergoing a syngeneic PBSC transplant for AML, our patient presented with fever without localizing signs.",none,['none']
In conclusion that immunocompromised patients with impaired cellular and humoral immunity are at risk for the development of opportunistic infections and hematologic abnormalities.,none,['none']
"We report three patients with transformed migraine, previously refractory to a wide variety of traditional preventive pharmacologic and nonpharmacologic interventions.",none,['none']
Multiple cytotoxic drug administration is the generally accepted treatment of patients with a high-risk stage of choriocarcinoma.,none,['none']
We report a case of senna-induced cholestatic hepatitis which was not diagnosed at presentation.,none,['adverse_event']
"However, we cannot exclude a primitive effect of erythropoietin on the endothelium or on the platelets.",none,['none']
No flares were observed either in clinical symptoms or in laboratory examinations during pregnancy or after delivery.,none,['none']
BACKGROUND: 5-fluorouracil (5-FU) targets rapidly dividing cancer cell populations.,none,['none']
Tetracycline and benign intracranial hypertension: report of five cases.,none,['none']
"He recovered completely after lamivudine therapy was started, but this severe adverse event could have been prevented if screening for HBV and pre-emptive therapy with lamivudine would have been started prior to infliximab.",none,['none']
Provocation of non-convulsive status epilepticus by tiagabine in three adolescent patients.,none,['adverse_event']
We describe a heart transplant patient who presented with a large right-sided chest wall mass as a manifestation of disseminated histoplasmosis.,none,['none']
Five of 157 (3.2%) patients with small cell carcinoma were clinically diagnosed as having the ectopic ACTH syndrome.,none,['none']
Six days after starting acyclovir she exhibited signs of lithium toxicity.,none,['adverse_event']
Two of the five patients who worsened motorically also developed encephalopathy during risperidone treatment; the encephalopathy resolved when the patients were switched to clozapine treatment.,none,['adverse_event']
We present a case of a sustained monomorphic ventricular tachycardia following adenosine infusion.,none,['adverse_event']
The signs and symptoms were similar to those seen with systemic use of the drug for other ailments.,none,['none']
Pleural and broncheoalveolar fluid analyses (BAL) showed eosinophils.,none,['none']
"We identified NAT2*6/*7 in one patient, and NAT2*6/*5 in the other, suggesting that both were slow acetylator phenotypes.",none,['none']
"OBSERVATIONS: In both patients, at the time of the visual disturbances, macular edema was clearly observed by OCT.",none,['none']
The association between choroidal neovascularization (CNV) and retinal vein occlusive disease is uncommon.,none,['none']
"This is not a controlled study but an anecdotal experience that resulted in improved outcomes in a patient with multiple allergies, including iron dextran.",none,['none']
"Physicians should be aware of the risk of severe AIHA in CLL patients with a history of AIHA or positivation of the DAT during previous fludarabine administration, or in case of secondary fixation of complement to the red cell membrane occurring during fludarabine treatment.",none,['adverse_event']
"We report a 34-year-old man with a history of nodular lymphocyte-predominant Hodgkin lymphoma (NLPHL), treated with different chemotherapy regimens, including anthracyclines and Rituximab.",none,['none']
"The areas under the curve for theophylline alone and theophylline with zafirlukast were 29.3 and 197 (mg x h)/L, respectively.",none,['none']
All patients except two had new recurrences within the observation time.,none,['none']
Corticosteroids were found to worsen and prolong the course of disease.,none,['none']
"On hospital day 47 (day 45 of nesiritide therapy), the patient received an 18-fold overdose of nesiritide, with no hemodynamic, cardiac, or renal sequelae.",none,['overdose']
"Resting motor threshold (RMT), active motor threshold (AMT), MEP size, intracortical inhibition (ICI) and intracortical facilitation (ICF) were tested during and after suspension of hormonal therapy.",none,['none']
"METHODOLOGY: A case series of nine patients with lead poisoning who required inpatient management, identified through a Clinical Toxicology Service.",none,['none']
